County,State,CBSA Code,CBSA Title,Latitude,Longitude
Boone County,Kentucky,17140,"Cincinnati, OH-KY-IN",38.9940572,-84.7315563
Boone County,Missouri,17860,"Columbia, MO",39.0468547,-92.38136209999999
Bossier Parish,Louisiana,43340,"Shreveport-Bossier City, LA",32.7551322,-93.66232389999999
Botetourt County,Virginia,40220,"Roanoke, VA",37.5774613,-79.7848422
Boulder County,Colorado,14500,"Boulder, CO",40.1512114,-105.5005483
Bourbon County,Kentucky,30460,"Lexington-Fayette, KY",38.2170752,-84.2278796
Bowie County,Texas,45500,"Texarkana, TX-AR",33.4473287,-94.479976
Box Elder County,Utah,36260,"Ogden-Clearfield, UT",41.5380087,-113.1918021
Boyd County,Kentucky,26580,"Huntington-Ashland, WV-KY-OH",38.3833265,-82.6915429
Bracken County,Kentucky,17140,"Cincinnati, OH-KY-IN",38.7117016,-84.05902900000001
Bradley County,Tennessee,17420,"Cleveland, TN",35.1937778,-84.8567932
Brantley County,Georgia,15260,"Brunswick, GA",31.1510963,-81.9971108
Brazoria County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX",29.2131857,-95.4777811
Brazos County,Texas,17780,"College Station-Bryan, TX",30.6504141,-96.3226072
Bremer County,Iowa,47940,"Waterloo-Cedar Falls, IA",42.76108199999999,-92.38136209999999
Brevard County,Florida,37340,"Palm Bay-Melbourne-Titusville, FL",28.263933,-80.7214417
Bristol city,Virginia,28700,"Kingsport-Bristol-Bristol, TN-VA",36.595142,-82.1887368
Bristol County,Rhode Island,39300,"Providence-Warwick, RI-MA",41.7257893,-71.3111773
Bristol County,Massachusetts,39300,"Providence-Warwick, RI-MA",41.7938406,-71.1448516
Bronx County,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",40.8447819,-73.8648268
Brooke County,West Virginia,48260,"Weirton-Steubenville, WV-OH",40.2697757,-80.5660657
Brooks County,Georgia,46660,"Valdosta, GA",30.8730159,-83.54965659999999
Broome County,New York,13780,"Binghamton, NY",42.1791865,-75.8533954
Broomfield County,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.9205411,-105.0866504
Broward County,Florida,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",26.190096,-80.365865
Brown County,Wisconsin,24580,"Green Bay, WI",44.45616740000001,-87.9334803
Brown County,Indiana,26900,"Indianapolis-Carmel-Anderson, IN",39.1749729,-86.17517590000001
Brown County,Ohio,17140,"Cincinnati, OH-KY-IN",38.9092089,-83.8473015
Brunswick County,North Carolina,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34.0275398,-78.2020387
Bryan County,Georgia,42340,"Savannah, GA",32.0236584,-81.47183869999999
Buchanan County,Missouri,41140,"St. Joseph, MO-KS",39.6349791,-94.81059549999999
Buckingham County,Virginia,16820,"Charlottesville, VA",37.50700800000001,-78.5660852
Bucks County,Pennsylvania,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40.4107964,-75.2479061
Bullitt County,Kentucky,31140,"Louisville/Jefferson County, KY-IN",37.9842107,-85.684578
Buncombe County,North Carolina,11700,"Asheville, NC",35.59313770000001,-82.4752757
Burke County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC",35.7616931,-81.73494199999999
Burke County,Georgia,12260,"Augusta-Richmond County, GA-SC",33.088805,-81.9534815
Burleigh County,North Dakota,13900,"Bismarck, ND",47.0448552,-100.5049676
Burleson County,Texas,17780,"College Station-Bryan, TX",30.4500257,-96.663812
Burlington County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.8558488,-74.6868815
Butler County,Kansas,48620,"Wichita, KS",37.8649441,-96.83509989999999
Butler County,Ohio,17140,"Cincinnati, OH-KY-IN",39.440463,-84.5222189
Butler County,Pennsylvania,38300,"Pittsburgh, PA",40.9115243,-79.8296743
Butler County,Kentucky,14540,"Bowling Green, KY",37.2086395,-86.7013894
Butte County,California,17020,"Chico, CA",39.6253952,-121.5370003
Butte County,Idaho,26820,"Idaho Falls, ID",43.6448198,-113.1841378
Butts County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.2691443,-83.9532571
Cabarrus County,North Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",35.4168123,-80.5882803
Cabell County,West Virginia,26580,"Huntington-Ashland, WV-KY-OH",38.43919270000001,-82.25832969999999
Cabo Rojo Municipio,Puerto Rico,41900,"San Germán, PR",18.0866265,-67.14573469999999
Cache County,Utah,30860,"Logan, UT-ID",41.7560026,-111.7614661
Caddo Parish,Louisiana,43340,"Shreveport-Bossier City, LA",32.6136798,-93.86553029999999
Caguas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.2387995,-66.035249
Calcasieu Parish,Louisiana,29340,"Lake Charles, LA",30.2089286,-93.33889169999999
Caldwell County,Missouri,28140,"Kansas City, MO-KS",39.6660775,-93.9878427
Caldwell County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC",35.9227448,-81.5596427
Caldwell County,Texas,12420,"Austin-Round Rock, TX",29.8849106,-97.6699144
Calhoun County,Illinois,41180,"St. Louis, MO-IL",39.1733216,-90.658333
Calhoun County,Alabama,11500,"Anniston-Oxford-Jacksonville, AL",33.7701576,-85.80766
Calhoun County,South Carolina,17900,"Columbia, SC",33.6738638,-80.7657804
Calhoun County,Michigan,12980,"Battle Creek, MI",42.2073905,-85.02334599999999
Callahan County,Texas,10180,"Abilene, TX",32.2728116,-99.456155
Callaway County,Missouri,27620,"Jefferson City, MO",38.8886044,-91.9099238
Calumet County,Wisconsin,11540,"Appleton, WI",44.1586082,-88.24611829999999
Calvert County,Maryland,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.49495030000001,-76.5025742
Cambria County,Pennsylvania,27780,"Johnstown, PA",40.4894231,-78.74762079999999
Camden County,New Jersey,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",39.8592439,-75.0143824
Cameron County,Texas,15180,"Brownsville-Harlingen, TX",26.1284971,-97.5247243
