City,State,CBSA Code,CBSA Title,Latitude,Longitude
Brownwood,Texas,15220,"Brownwood, TX",31.7093197,-98.9911611
Brunswick,Georgia,15260,"Brunswick, GA",31.1499528,-81.4914894
Bucyrus,Ohio,15340,"Bucyrus, OH",40.8083909,-82.9754649
Buffalo,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",42.8864468,-78.8783689
Cheektowaga,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",42.9071477,-78.7542892
Niagara Falls,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",43.0962143,-79.0377388
Burley,Idaho,15420,"Burley, ID",42.5357428,-113.7927948
Burlington,Iowa,15460,"Burlington, IA-IL",40.8076529,-91.1128901
Burlington,North Carolina,15500,"Burlington, NC",36.0956918,-79.4377991
Burlington,Vermont,15540,"Burlington-South Burlington, VT",44.4758825,-73.212072
South Burlington,Vermont,15540,"Burlington-South Burlington, VT",44.4669941,-73.1709604
Butte-Silver Bow (balance),Montana,15580,"Butte-Silver Bow, MT",45.9978936,-112.5359941
Cadillac,Michigan,15620,"Cadillac, MI",44.2519526,-85.4011619
Calhoun,Georgia,15660,"Calhoun, GA",34.502587,-84.9510542
California,Maryland,15680,"California-Lexington Park, MD",38.3004029,-76.5074542
Lexington Park,Maryland,15680,"California-Lexington Park, MD",38.2575517,-76.4620928
Cambridge,Maryland,15700,"Cambridge, MD",38.5631744,-76.0788292
Cambridge,Ohio,15740,"Cambridge, OH",40.031183,-81.5884561
Camden,Arkansas,15780,"Camden, AR",33.5845581,-92.8343294
Campbellsville,Kentucky,15820,"Campbellsville, KY",37.3433974,-85.3419069
Cañon City,Colorado,15860,"Cañon City, CO",38.4494063,-105.2253316
Canton,Illinois,15900,"Canton, IL",40.5580945,-90.0351167
Canton,Ohio,15940,"Canton-Massillon, OH",40.7989473,-81.378447
Massillon,Ohio,15940,"Canton-Massillon, OH",40.7967244,-81.5215093
Cape Coral,Florida,15980,"Cape Coral-Fort Myers, FL",26.5628537,-81.9495331
Fort Myers,Florida,15980,"Cape Coral-Fort Myers, FL",26.640628,-81.8723084
Cape Girardeau,Illinois,16020,"Cape Girardeau, MO-IL",37.2958838,-89.4962024
Carbondale,Illinois,16060,"Carbondale-Marion, IL",37.7272727,-89.2167501
Marion,Illinois,16060,"Carbondale-Marion, IL",37.7306054,-88.9331256
Artesia,New Mexico,16100,"Carlsbad-Artesia, NM",32.8423345,-104.4032962
Carlsbad,New Mexico,16100,"Carlsbad-Artesia, NM",32.4206736,-104.2288375
Carroll,Iowa,16140,"Carroll, IA",42.0655986,-94.8672793
Carson City,Nevada,16180,"Carson City, NV",39.1637984,-119.7674034
Casper,Wyoming,16220,"Casper, WY",42.8500769,-106.3251749
Cedar City,Utah,16260,"Cedar City, UT",37.6774769,-113.0618931
Cedar Rapids,Iowa,16300,"Cedar Rapids, IA",41.9778795,-91.6656232
Cedartown,Georgia,16340,"Cedartown, GA",34.0112715,-85.2565823
Celina,Ohio,16380,"Celina, OH",40.5489358,-84.5702338
Central City,Kentucky,16420,"Central City, KY",37.2939322,-87.1233292
Centralia,Illinois,16460,"Centralia, IL",38.5285169,-89.1316944
Centralia,Washington,16500,"Centralia, WA",46.7162136,-122.9542972
Chambersburg,Pennsylvania,16540,"Chambersburg-Waynesboro, PA",39.9375911,-77.6611022
Waynesboro,Pennsylvania,16540,"Chambersburg-Waynesboro, PA",39.755927,-77.5777692
Champaign,Illinois,16580,"Champaign-Urbana, IL",40.1164204,-88.2433829
Urbana,Illinois,16580,"Champaign-Urbana, IL",40.1105875,-88.2072697
Charleston,West Virginia,16620,"Charleston, WV",38.3498195,-81.6326234
Charleston,Illinois,16660,"Charleston-Mattoon, IL",39.4961458,-88.1761521
Mattoon,Illinois,16660,"Charleston-Mattoon, IL",39.4830897,-88.3728255
Charleston,South Carolina,16700,"Charleston-North Charleston, SC",32.7764749,-79.9310512
North Charleston,South Carolina,16700,"Charleston-North Charleston, SC",32.8771106,-80.0130514
Charlotte,,16740,"Charlotte-Concord-Gastonia, NC-SC",27.0066639,-82.1307735
Concord,,16740,"Charlotte-Concord-Gastonia, NC-SC",37.9771721,-122.0350505
Gastonia,,16740,"Charlotte-Concord-Gastonia, NC-SC",35.262082,-81.1873005
Rock Hill,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC",34.9248667,-81.0250784
Charlottesville,Virginia,16820,"Charlottesville, VA",38.0293059,-78.4766781
Chattanooga,Tennessee,16860,"Chattanooga, TN-GA",35.0456297,-85.3096801
Cheyenne,Wyoming,16940,"Cheyenne, WY",41.1399814,-104.8202462
Arlington Heights,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0883603,-87.9806265
Chicago,,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.9354416,-87.6595331
Des Plaines,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0333623,-87.8833991
Elgin,,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0354084,-88.2825668
Evanston,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0450722,-87.6876969
Hoffman Estates,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0629915,-88.1227199
Naperville,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.7508391,-88.1535352
Schaumburg,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0333607,-88.0834059
Skokie,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",42.0324025,-87.7416246
Gary,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.6020403,-87.3371523
Chico,California,17020,"Chico, CA",39.7284944,-121.8374777
Chillicothe,Ohio,17060,"Chillicothe, OH",39.3331197,-82.9824019
