,code,n_killed,n_injured,n_guns_involved,n_incidents
594,34980,229.0,572.0,1548.0,1065
595,35020,21.0,38.0,94.0,68
596,35060,13.0,13.0,77.0,47
597,35100,8.0,28.0,61.0,53
598,35140,6.0,14.0,28.0,27
599,35220,6.0,7.0,23.0,21
600,35260,25.0,28.0,83.0,72
601,35300,33.0,146.0,585.0,374
602,35380,429.0,1127.0,2134.0,1858
603,35420,7.0,4.0,10.0,8
604,35440,0.0,3.0,14.0,8
605,35460,4.0,4.0,14.0,12
606,35500,3.0,5.0,10.0,10
607,35580,1.0,1.0,2.0,2
608,35620,800.0,1736.0,5573.0,3749
609,35660,33.0,36.0,111.0,95
610,35700,0.0,3.0,12.0,6
611,35740,0.0,2.0,43.0,11
612,35820,7.0,7.0,18.0,17
613,35840,65.0,105.0,344.0,275
614,35860,1.0,4.0,9.0,9
615,35900,11.0,9.0,20.0,18
616,35940,2.0,3.0,10.0,7
617,35980,12.0,26.0,210.0,155
618,36020,1.0,1.0,22.0,7
619,36100,42.0,92.0,332.0,242
620,36140,3.0,6.0,43.0,30
621,36220,15.0,14.0,77.0,58
622,36260,22.0,18.0,75.0,56
623,36300,0.0,3.0,57.0,38
624,36340,6.0,2.0,38.0,10
625,36380,1.0,9.0,52.0,34
626,36420,148.0,233.0,892.0,510
627,36460,2.0,1.0,44.0,20
628,36500,19.0,14.0,74.0,42
629,36540,67.0,210.0,539.0,467
630,36580,6.0,5.0,35.0,22
631,36620,6.0,5.0,25.0,23
632,36660,22.0,35.0,105.0,91
633,36700,28.0,93.0,316.0,219
634,36740,274.0,488.0,1857.0,843
635,36780,16.0,10.0,92.0,44
636,36820,1.0,2.0,4.0,4
637,36830,4.0,3.0,9.0,8
638,36840,0.0,2.0,6.0,5
639,36860,2.0,3.0,36.0,17
640,36900,1.0,4.0,9.0,8
641,36940,1.0,1.0,4.0,3
642,36980,9.0,19.0,111.0,49
643,37020,3.0,3.0,6.0,6
644,37060,26.0,31.0,87.0,68
645,37080,2.0,5.0,8.0,8
646,37100,41.0,95.0,491.0,306
647,37120,5.0,10.0,23.0,19
648,37140,12.0,35.0,140.0,89
649,37220,2.0,2.0,23.0,15
650,37260,36.0,41.0,167.0,116
651,37300,6.0,10.0,39.0,24
652,37340,46.0,86.0,270.0,201
653,37420,3.0,2.0,6.0,6
654,37460,21.0,55.0,212.0,163
655,37500,8.0,1.0,17.0,17
656,37540,10.0,7.0,84.0,31
657,37580,9.0,13.0,94.0,79
658,37620,12.0,12.0,29.0,27
659,37660,5.0,5.0,32.0,23
660,37740,6.0,2.0,9.0,8
661,37780,2.0,4.0,8.0,7
662,37800,0.0,2.0,4.0,4
663,37860,48.0,61.0,211.0,179
664,37900,34.0,183.0,757.0,673
665,37940,1.0,2.0,10.0,10
666,37980,670.0,1419.0,2771.0,2203
667,38060,464.0,426.0,999.0,925
668,38100,27.0,27.0,153.0,74
