,City,State,CBSA Code,CBSA Title
205,Mattoon,Illinois,16660,"Charleston-Mattoon, IL"
206,Charleston,South Carolina,16700,"Charleston-North Charleston, SC"
207,North Charleston,South Carolina,16700,"Charleston-North Charleston, SC"
208,Charlotte,,16740,"Charlotte-Concord-Gastonia, NC-SC"
209,Concord,,16740,"Charlotte-Concord-Gastonia, NC-SC"
210,Gastonia,,16740,"Charlotte-Concord-Gastonia, NC-SC"
211,Rock Hill,South Carolina,16740,"Charlotte-Concord-Gastonia, NC-SC"
212,Charlottesville,Virginia,16820,"Charlottesville, VA"
213,Chattanooga,Tennessee,16860,"Chattanooga, TN-GA"
214,Cheyenne,Wyoming,16940,"Cheyenne, WY"
215,Arlington Heights,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
216,Chicago,,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
217,Des Plaines,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
218,Elgin,,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
219,Evanston,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
220,Hoffman Estates,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
221,Naperville,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
222,Schaumburg,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
223,Skokie,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
224,Gary,Indiana,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
225,Chico,California,17020,"Chico, CA"
226,Chillicothe,Ohio,17060,"Chillicothe, OH"
227,Cincinnati,Ohio,17140,"Cincinnati, OH-KY-IN"
228,Claremont,New Hampshire,17200,"Claremont-Lebanon, NH-VT"
229,Lebanon,New Hampshire,17200,"Claremont-Lebanon, NH-VT"
230,Clarksburg,West Virginia,17220,"Clarksburg, WV"
231,Clarksdale,Mississippi,17260,"Clarksdale, MS"
232,Clarksville,Tennessee,17300,"Clarksville, TN-KY"
233,Clearlake,California,17340,"Clearlake, CA"
234,Cleveland,Mississippi,17380,"Cleveland, MS"
235,Cleveland,Tennessee,17420,"Cleveland, TN"
236,Cleveland,Ohio,17460,"Cleveland-Elyria, OH"
237,Elyria,Ohio,17460,"Cleveland-Elyria, OH"
238,Clewiston,Florida,17500,"Clewiston, FL"
239,Clinton,Iowa,17540,"Clinton, IA"
240,Clovis,New Mexico,17580,"Clovis, NM"
241,Coamo,Puerto Rico,17620,"Coamo, PR"
242,Coco,Puerto Rico,17640,"Coco, PR"
243,Coeur d'Alene,Idaho,17660,"Coeur d'Alene, ID"
244,Coffeyville,Kansas,17700,"Coffeyville, KS"
245,Coldwater,Michigan,17740,"Coldwater, MI"
246,Bryan,Texas,17780,"College Station-Bryan, TX"
247,College Station,Texas,17780,"College Station-Bryan, TX"
248,Colorado Springs,Colorado,17820,"Colorado Springs, CO"
249,Columbia,Missouri,17860,"Columbia, MO"
250,Columbia,South Carolina,17900,"Columbia, SC"
251,Columbus,Georgia,17980,"Columbus, GA-AL"
252,Columbus,Indiana,18020,"Columbus, IN"
253,Columbus,Mississippi,18060,"Columbus, MS"
254,Columbus,Nebraska,18100,"Columbus, NE"
255,Columbus,Ohio,18140,"Columbus, OH"
256,Concord,New Hampshire,18180,"Concord, NH"
257,Connersville,Indiana,18220,"Connersville, IN"
258,Cookeville,Tennessee,18260,"Cookeville, TN"
259,Coos Bay,Oregon,18300,"Coos Bay, OR"
260,Cordele,Georgia,18380,"Cordele, GA"
261,Corinth,Mississippi,18420,"Corinth, MS"
262,Cornelia,Georgia,18460,"Cornelia, GA"
